NCM;CAPITULO;Descrição;Início da Vigência;Fim da Vigência;uTrib
1012100;1;CAVALOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN
1012900;1;OUTROS CAVALOS VIVOS;01/01/2016;;UN
1013000;1;ASININOS VIVOS;01/01/2016;;UN
1019000;1;OUTROS MUARES VIVOS;01/01/2016;;UN
1022110;1;BOVINOS DOMÉST.REPROD.D/RAÇA PURA,PRENHES OU C/CRIA AO;01/01/2016;;UN
1022190;1;OUTROS BOVINOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN
1022911;1;OUTROS BOVINOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ;01/01/2016;;UN
1022919;1;OUTROS BOVINOS DOMÉSTICOS PARA REPRODUÇÃO;01/01/2016;;UN
1022990;1;OUTROS BOVINOS DOMÉSTICOS VIVOS;01/01/2016;;UN
1023110;1;BÚFALOS REPROD.DE RAÇA PURA, PRENHES OU C/CRIA AO PÉ;01/01/2016;;UN
1023190;1;OUTROS BÚFALOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN
1023911;1;OUTROS BÚFALOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ;01/01/2016;;UN
1023919;1;OUTROS BÚFALOS PARA REPRODUÇÃO;01/01/2016;;UN
1023990;1;OUTROS BÚFALOS VIVOS;01/01/2016;;UN
1029000;1;OUTROS ANIMAIS VIVOS DA ESPÉCIE BOVINA;01/01/2016;;UN
1031000;1;REPRODUTORES DA ESPÉCIE SUÍNA DE RAÇA PURA;01/01/2016;;UN
1039100;1;OUTROS SUÍNOS REPROD.PESO INFERIOR 50 KG;01/01/2016;;UN
1039200;1;OUTS.SUÍNOS REPROD.PESO IGUAL OU SUP 50 KG;01/01/2016;;UN
1041011;1;OVINOS REP.RAÇA PURA,PRENHE OU C/CRIA AO PÉ;01/01/2016;;UN
1041019;1;OUTROS OVINOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN
1041090;1;OUTROS ANIMAIS DA ESPÉCIES OVINAS;01/01/2016;;UN
1042010;1;CAPRINOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN
1042090;1;OUTS.CAPRINOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN
1051110;1;GALO E GALINHA REP.RAÇA PUR/ HIBRI.Ñ SUP.185G;01/01/2016;;UN
1051190;1;OUTROS GALOS E GALINHAS NÃO SUPERIOR A 185G;01/01/2016;;UN
1051200;1;PERUAS E PERUS, PESO NÃO SUPERIOR A 185G;01/01/2016;;UN
1051300;1;PATOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G;01/01/2016;;UN
1051400;1;GANSOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G;01/01/2016;;UN
1051500;1;GALINHAS D'ANGOLA (PINTADAS) DOMEST.VIVAS D/PESO INF.A;01/01/2016;;UN
1059400;1;GALOS E GALINHAS DE PESO Ñ SUPERIOR A 185G;01/01/2016;;UN
1059900;1;OUTRAS AVES DAS ESP.DOMÉSTICAS,PESO >185G;01/01/2016;;UN
1061100;1;MAMÍFEROS PRIMATAS VIVOS;01/01/2016;;UN
1061200;1;BALEIAS,GOLF.,BOTOS,PEIXES-BOIS,DUDONG,OTÁRIAS,FOCAS,ET;01/01/2016;;UN
1061300;1;CAMELOS E OUTROS CAMELÍDIOS VIVOS;01/01/2016;;UN
1061400;1;COELHOS E LEBRES VIVOS;01/01/2016;;UN
1061900;1;OUTROS MAMÍFEROS VIVOS;01/01/2016;;UN
1062000;1;RÉPTEIS,SERPENTES E TARTAR.MARINHAS,VIVOS;01/01/2016;;UN
1063100;1;AVES DE RAPINA VIVAS;01/01/2016;;UN
1063200;1;PSITACIFORMES(PAP.PER.ARARAS,CACATUAS)VIVO;01/01/2016;;UN
